+-----+----------------------+-------------------+------------------------+------------------------+
| id  | name                 | stage_name        | avg_artist_performance | avg_overall_impression |
+-----+----------------------+-------------------+------------------------+------------------------+
|  82 | Cassandra Lopez      | randy46           |                 3.1374 |                 2.9023 |
|  23 | Darren Keith         | curtispamela      |                 3.1359 |                 3.0429 |
|   1 | Thomas Bailey        | michelleanthony   |                 3.1263 |                 3.0503 |
| 174 | Maria Morris         | gandrews          |                 3.1230 |                 3.0249 |
| 146 | Elizabeth Robbins    | robertssteve      |                 3.1111 |                 3.0387 |
| 139 | Jeremy Medina        | rebeccahowe       |                 3.1078 |                 3.0091 |
| 186 | Stephanie Thompson   | timothyburns      |                 3.1001 |                 3.0193 |
| 116 | Stephen Phillips     | owatson           |                 3.0970 |                 2.9868 |
| 168 | Ian Holland          | alejandro35       |                 3.0969 |                 2.9947 |
|   6 | Dustin Lynch         | chamberstracey    |                 3.0960 |                 2.9485 |
|  72 | Theresa Stevens      | amy35             |                 3.0930 |                 2.9434 |
|  34 | Charles Harrison     | joseph54          |                 3.0914 |                 3.0576 |
|  41 | Julie Howard         | andrewsantiago    |                 3.0872 |                 2.9863 |
|  27 | Tracy Odom           | gvillegas         |                 3.0837 |                 2.9655 |
|  62 | Shane Mitchell       | wrightkimberly    |                 3.0828 |                 3.0430 |
|  80 | Sharon Martin        | richardharrison   |                 3.0824 |                 2.9385 |
|  66 | Michael Gutierrez    | kylehowell        |                 3.0822 |                 3.0112 |
|  28 | Charles Singh        | fkramer           |                 3.0810 |                 3.0043 |
|  47 | Nathan Rodriguez     | bdavid            |                 3.0795 |                 2.9902 |
|   5 | Ian Ramirez          | andrewsmegan      |                 3.0787 |                 2.9563 |
| 145 | Mark Nelson          | matthewdunn       |                 3.0777 |                 2.9599 |
|  48 | Shane Schultz        | mcfarlanddale     |                 3.0773 |                 2.9948 |
|  38 | Larry Klein          | amanda40          |                 3.0746 |                 3.0744 |
| 120 | Joseph Strickland    | chasemelanie      |                 3.0743 |                 2.9960 |
| 104 | Kevin Chandler       | scottryan         |                 3.0729 |                 3.0069 |
| 184 | Amanda Lee           | ymoran            |                 3.0717 |                 2.9555 |
| 142 | Dale Spencer         | milesbruce        |                 3.0696 |                 2.9858 |
|  18 | Christopher Kennedy  | rachelmiles       |                 3.0693 |                 2.9587 |
|  75 | Kevin Espinoza       | sphillips         |                 3.0687 |                 3.0460 |
|  91 | James Robinson       | cruzmichael       |                 3.0681 |                 2.9163 |
| 143 | Brianna Young        | danielslori       |                 3.0652 |                 2.9507 |
|  83 | Monica Alexander     | jessebowman       |                 3.0648 |                 2.9689 |
|  22 | Douglas Cox          | wilsonangela      |                 3.0630 |                 2.9801 |
|  61 | Dylan Robles         | opittman          |                 3.0615 |                 3.0943 |
|  35 | Mark Yoder           | tammiemccoy       |                 3.0608 |                 2.9702 |
|  89 | Kristi Stone         | taylordonald      |                 3.0603 |                 2.9598 |
| 101 | Jacqueline Chandler  | chad20            |                 3.0589 |                 2.9444 |
|  43 | Christopher Gibson   | billylivingston   |                 3.0587 |                 2.9435 |
| 163 | Michael Martin       | dhernandez        |                 3.0557 |                 2.9486 |
| 193 | Aaron Perez          | tatedalton        |                 3.0551 |                 3.0078 |
| 198 | Jon Beltran          | gonzalezkara      |                 3.0531 |                 2.9096 |
|  33 | Jeffery Oliver       | ingramsamuel      |                 3.0519 |                 2.9696 |
| 171 | Ashley Hawkins       | fclayton          |                 3.0517 |                 2.9780 |
| 129 | Veronica Phillips    | keithle           |                 3.0515 |                 3.0518 |
| 121 | Michelle Bryant      | acole             |                 3.0486 |                 2.9922 |
| 151 | Shane Gilbert        | xnguyen           |                 3.0471 |                 2.9845 |
| 152 | Shirley Brown        | huffkayla         |                 3.0469 |                 2.9922 |
| 196 | Mr. David Michael MD | xcastro           |                 3.0465 |                 2.9844 |
| 103 | Jennifer Turner      | breanna66         |                 3.0458 |                 3.0891 |
|  40 | Kelli Johnson        | andrewperry       |                 3.0441 |                 2.9133 |
|  81 | Christopher Scott    | kimberly78        |                 3.0436 |                 2.9529 |
|  31 | Joy Potts            | dawn16            |                 3.0424 |                 3.0246 |
| 140 | Janet Lee            | davidwilliams     |                 3.0420 |                 2.9948 |
| 200 | Jason Holland        | grahamamy         |                 3.0420 |                 2.9404 |
|  42 | Katherine Miller     | fergusonmelissa   |                 3.0407 |                 2.9337 |
|  94 | Jennifer Daniel      | drobertson        |                 3.0406 |                 3.0000 |
| 132 | Jason Chandler       | jessemyers        |                 3.0403 |                 2.9353 |
| 126 | Diana Patrick        | psmith            |                 3.0402 |                 3.0067 |
|  29 | Sarah Dixon          | heather69         |                 3.0401 |                 3.0884 |
| 160 | Michelle Johnson     | nforbes           |                 3.0393 |                 3.0054 |
|  21 | John Hardin          | chasemark         |                 3.0388 |                 2.9866 |
| 102 | Angela Gordon        | shafferrick       |                 3.0388 |                 2.9706 |
| 127 | Kim Winters          | kestrada          |                 3.0378 |                 2.9493 |
| 187 | Alexis Morris        | amberaguilar      |                 3.0369 |                 3.0175 |
| 138 | Richard Williams     | lucasloretta      |                 3.0366 |                 3.0283 |
|   4 | John King            | qjones            |                 3.0361 |                 2.9779 |
| 165 | Veronica Fox         | eric28            |                 3.0360 |                 3.0408 |
|  37 | Fernando Mccall      | kenneth94         |                 3.0324 |                 3.0282 |
| 149 | Kathryn Stewart      | blacklaura        |                 3.0315 |                 2.9364 |
|  55 | Emma Scott           | dlucas            |                 3.0294 |                 2.9962 |
|  52 | Nicholas Cobb        | kevin04           |                 3.0288 |                 3.0108 |
|  68 | Patrick Curtis       | ozavala           |                 3.0286 |                 3.0095 |
| 111 | David Anderson       | michael05         |                 3.0265 |                 2.9725 |
| 144 | Allison Brown        | kristina24        |                 3.0264 |                 2.9531 |
| 191 | Michael Sanchez      | angeladillon      |                 3.0261 |                 3.0615 |
|  50 | Tyler Jones          | lbell             |                 3.0261 |                 3.0039 |
|  11 | Sandra Owens         | wilsonjose        |                 3.0234 |                 3.0702 |
| 159 | Theresa Cross        | smithjacob        |                 3.0227 |                 3.0331 |
| 155 | Anna Garcia          | lisa14            |                 3.0223 |                 3.0161 |
|  92 | Amy Whitehead        | jmorrow           |                 3.0216 |                 3.0594 |
| 109 | Sean Ramos           | welchricky        |                 3.0212 |                 2.9677 |
|  71 | Charles Byrd         | vvaldez           |                 3.0180 |                 3.0572 |
| 115 | Alicia Cox           | mwyatt            |                 3.0179 |                 2.9947 |
|  59 | Christopher Stewart  | hunterpaige       |                 3.0175 |                 3.0483 |
| 105 | Scott Cain           | samanthawalker    |                 3.0174 |                 3.0222 |
