+-----+----------------------+-------------------+-----------------+---------------------------------------------------------------------------+
| id  | name                 | stage_name        | continent_count | continents                                                                |
+-----+----------------------+-------------------+-----------------+---------------------------------------------------------------------------+
|  79 | Katie Carlson        | maureenjones      |               7 | Africa, Antarctica, Asia, Australia, Europe, North America, South America |
| 129 | Veronica Phillips    | keithle           |               7 | Africa, Antarctica, Asia, Australia, Europe, North America, South America |
|   8 | Linda Nunez          | blackwellstephen  |               6 | Africa, Antarctica, Asia, Australia, Europe, North America                |
|  10 | Patricia Bush        | warrendan         |               6 | Africa, Antarctica, Asia, Australia, Europe, South America                |
|  25 | Miguel Zuniga        | leetimothy        |               6 | Africa, Asia, Australia, Europe, North America, South America             |
|  26 | Harold Salinas       | wilsonsandra      |               6 | Antarctica, Asia, Australia, Europe, North America, South America         |
|  38 | Larry Klein          | amanda40          |               6 | Antarctica, Asia, Australia, Europe, North America, South America         |
|  42 | Katherine Miller     | fergusonmelissa   |               6 | Africa, Antarctica, Asia, Australia, Europe, North America                |
|  61 | Dylan Robles         | opittman          |               6 | Antarctica, Asia, Australia, Europe, North America, South America         |
|  71 | Charles Byrd         | vvaldez           |               6 | Africa, Antarctica, Asia, Australia, Europe, South America                |
|  81 | Christopher Scott    | kimberly78        |               6 | Africa, Antarctica, Asia, Europe, North America, South America            |
|  85 | Robert Bruce         | christopher47     |               6 | Africa, Antarctica, Asia, Europe, North America, South America            |
|  86 | Linda Carlson        | andreapierce      |               6 | Africa, Antarctica, Asia, Europe, North America, South America            |
|  93 | Daniel Turner        | halldouglas       |               6 | Africa, Asia, Australia, Europe, North America, South America             |
|  94 | Jennifer Daniel      | drobertson        |               6 | Africa, Antarctica, Asia, Australia, Europe, North America                |
| 122 | Todd Ramsey          | krussell          |               6 | Africa, Antarctica, Asia, Europe, North America, South America            |
| 125 | Anthony Johnson      | jennifer95        |               6 | Africa, Antarctica, Asia, Australia, Europe, North America                |
| 152 | Shirley Brown        | huffkayla         |               6 | Africa, Antarctica, Asia, Australia, Europe, North America                |
| 168 | Ian Holland          | alejandro35       |               6 | Africa, Antarctica, Asia, Australia, Europe, South America                |
| 170 | Danielle Marshall    | jessicaharrison   |               6 | Antarctica, Asia, Australia, Europe, North America, South America         |
| 196 | Mr. David Michael MD | xcastro           |               6 | Africa, Antarctica, Asia, Europe, North America, South America            |
|   3 | Megan Webb           | brooksscott       |               5 | Africa, Asia, Australia, Europe, North America                            |
|   4 | John King            | qjones            |               5 | Africa, Antarctica, Asia, Europe, South America                           |
|   5 | Ian Ramirez          | andrewsmegan      |               5 | Africa, Antarctica, Asia, North America, South America                    |
|   7 | Deborah Perez        | sanchezgloria     |               5 | Antarctica, Asia, Australia, North America, South America                 |
|  12 | Christopher Brown    | jeffreyhayes      |               5 | Africa, Antarctica, Asia, Europe, North America                           |
|  17 | Thomas Baldwin       | earl71            |               5 | Antarctica, Asia, Europe, North America, South America                    |
|  23 | Darren Keith         | curtispamela      |               5 | Africa, Antarctica, Asia, Europe, North America                           |
|  27 | Tracy Odom           | gvillegas         |               5 | Africa, Antarctica, Australia, Europe, North America                      |
|  30 | Christine Parrish    | elizabethwilliams |               5 | Africa, Antarctica, Asia, Europe, South America                           |
|  33 | Jeffery Oliver       | ingramsamuel      |               5 | Africa, Antarctica, Asia, Europe, North America                           |
|  41 | Julie Howard         | andrewsantiago    |               5 | Antarctica, Asia, Europe, North America, South America                    |
|  45 | Heather Williams     | jeffreykirby      |               5 | Africa, Antarctica, Asia, North America, South America                    |
|  53 | Lori Reed            | richard12         |               5 | Antarctica, Asia, Australia, Europe, South America                        |
|  54 | Miguel Hines         | margaret08        |               5 | Africa, Antarctica, Asia, Europe, North America                           |
|  55 | Emma Scott           | dlucas            |               5 | Antarctica, Asia, Australia, North America, South America                 |
|  59 | Christopher Stewart  | hunterpaige       |               5 | Africa, Antarctica, Asia, North America, South America                    |
|  63 | Katelyn Freeman      | melanie51         |               5 | Africa, Antarctica, Asia, Australia, South America                        |
|  67 | Pamela Hernandez     | heatherjackson    |               5 | Antarctica, Asia, Europe, North America, South America                    |
|  69 | Steven Gibson        | kristenbaker      |               5 | Africa, Antarctica, Asia, Europe, North America                           |
|  72 | Theresa Stevens      | amy35             |               5 | Asia, Australia, Europe, North America, South America                     |
|  73 | Caitlin Lara         | brandi46          |               5 | Antarctica, Asia, Europe, North America, South America                    |
|  74 | Kathleen Barr        | barrlori          |               5 | Antarctica, Asia, Europe, North America, South America                    |
|  75 | Kevin Espinoza       | sphillips         |               5 | Africa, Antarctica, Asia, Europe, North America                           |
|  76 | Rebecca Brown        | patrickjackson    |               5 | Africa, Antarctica, Asia, Europe, South America                           |
|  80 | Sharon Martin        | richardharrison   |               5 | Antarctica, Asia, Europe, North America, South America                    |
|  90 | Debra Jimenez        | umason            |               5 | Africa, Asia, Australia, Europe, South America                            |
|  91 | James Robinson       | cruzmichael       |               5 | Antarctica, Asia, Australia, Europe, South America                        |
|  95 | Michael Smith        | ebonysalas        |               5 | Africa, Australia, Europe, North America, South America                   |
|  96 | Ian Miller           | jonathanmason     |               5 | Africa, Asia, Europe, North America, South America                        |
|  99 | Andrea Baker         | robin85           |               5 | Africa, Asia, Australia, North America, South America                     |
| 101 | Jacqueline Chandler  | chad20            |               5 | Antarctica, Asia, Australia, Europe, North America                        |
| 103 | Jennifer Turner      | breanna66         |               5 | Africa, Asia, Europe, North America, South America                        |
| 106 | Robert Rodriguez     | kathryn56         |               5 | Antarctica, Australia, Europe, North America, South America               |
| 108 | Stacy Riggs          | feliciaayers      |               5 | Africa, Antarctica, Asia, Australia, Europe                               |
| 113 | Crystal Carter       | michellecrosby    |               5 | Africa, Antarctica, Asia, Europe, South America                           |
| 114 | Joseph Kent          | cbowman           |               5 | Asia, Australia, Europe, North America, South America                     |
| 115 | Alicia Cox           | mwyatt            |               5 | Africa, Asia, Australia, North America, South America                     |
| 118 | Andre Golden         | susanboyd         |               5 | Antarctica, Asia, Europe, North America, South America                    |
| 120 | Joseph Strickland    | chasemelanie      |               5 | Asia, Australia, Europe, North America, South America                     |
| 133 | Mark Ray             | qgalvan           |               5 | Africa, Antarctica, Asia, Europe, North America                           |
| 137 | Courtney Higgins     | rosswilliam       |               5 | Africa, Antarctica, Asia, Europe, North America                           |
| 138 | Richard Williams     | lucasloretta      |               5 | Africa, Antarctica, Asia, Europe, North America                           |
| 139 | Jeremy Medina        | rebeccahowe       |               5 | Antarctica, Asia, Europe, North America, South America                    |
| 140 | Janet Lee            | davidwilliams     |               5 | Antarctica, Asia, Europe, North America, South America                    |
| 141 | Wendy Clark          | sanderselizabeth  |               5 | Africa, Antarctica, Asia, Australia, Europe                               |
| 147 | Edward Hardy         | william69         |               5 | Antarctica, Asia, Australia, Europe, North America                        |
| 148 | Colin Shepherd       | lopezgrace        |               5 | Antarctica, Asia, Australia, Europe, North America                        |
| 149 | Kathryn Stewart      | blacklaura        |               5 | Antarctica, Australia, Europe, North America, South America               |
| 150 | Melody Powell        | robert26          |               5 | Antarctica, Asia, Europe, North America, South America                    |
| 153 | Frances Vasquez      | hammondzachary    |               5 | Antarctica, Asia, Australia, Europe, South America                        |
| 167 | Steven Sparks        | michellecervantes |               5 | Africa, Antarctica, Australia, North America, South America               |
| 171 | Ashley Hawkins       | fclayton          |               5 | Antarctica, Asia, Australia, Europe, North America                        |
| 172 | Benjamin Mccormick   | aforbes           |               5 | Africa, Asia, Australia, Europe, South America                            |
| 173 | Leslie Burns         | jessicapierce     |               5 | Africa, Antarctica, Asia, Europe, North America                           |
| 176 | James Cunningham     | guerradaryl       |               5 | Antarctica, Asia, Australia, North America, South America                 |
| 177 | Ashley Perez         | aguilaredward     |               5 | Africa, Antarctica, Asia, Europe, South America                           |
| 179 | Kenneth Nelson       | ilarson           |               5 | Africa, Asia, Australia, Europe, North America                            |
| 181 | Christian Rodriguez  | xmartin           |               5 | Africa, Antarctica, Asia, Australia, South America                        |
| 182 | Benjamin Hawkins     | weaverjimmy       |               5 | Africa, Antarctica, Asia, North America, South America                    |
| 183 | Richard Cohen        | john90            |               5 | Antarctica, Asia, Australia, Europe, South America                        |
| 184 | Amanda Lee           | ymoran            |               5 | Africa, Antarctica, Asia, North America, South America                    |
| 185 | Anthony Nash         | ryanmcguire       |               5 | Antarctica, Asia, Europe, North America, South America                    |
| 186 | Stephanie Thompson   | timothyburns      |               5 | Africa, Antarctica, Asia, Europe, South America                           |
| 189 | Andrea Clark         | brandy87          |               5 | Antarctica, Australia, Europe, North America, South America               |
| 192 | Ronald Hawkins       | gwang             |               5 | Africa, Asia, Australia, Europe, South America                            |
| 199 | James Bentley        | richardsonanthony |               5 | Asia, Australia, Europe, North America, South America                     |
|   1 | Thomas Bailey        | michelleanthony   |               4 | Africa, Asia, Europe, South America                                       |
|   6 | Dustin Lynch         | chamberstracey    |               4 | Asia, Australia, Europe, South America                                    |
|   9 | Janet Jackson        | vduncan           |               4 | Africa, Antarctica, Asia, North America                                   |
|  13 | Kim Fletcher         | hillamanda        |               4 | Africa, Asia, Europe, South America                                       |
|  16 | Jessica Mcdowell     | gary31            |               4 | Asia, Europe, North America, South America                                |
|  18 | Christopher Kennedy  | rachelmiles       |               4 | Antarctica, Asia, Europe, North America                                   |
|  19 | Diane Ramos          | bradfordnatalie   |               4 | Africa, Asia, Europe, South America                                       |
|  20 | Carmen Robertson     | geneperry         |               4 | Antarctica, Asia, Europe, South America                                   |
|  21 | John Hardin          | chasemark         |               4 | Antarctica, Asia, Europe, North America                                   |
|  28 | Charles Singh        | fkramer           |               4 | Asia, Europe, North America, South America                                |
|  31 | Joy Potts            | dawn16            |               4 | Antarctica, Asia, Europe, South America                                   |
|  32 | Joseph Blackburn     | nicholas52        |               4 | Africa, Antarctica, North America, South America                          |
|  34 | Charles Harrison     | joseph54          |               4 | Asia, Australia, Europe, North America                                    |
|  36 | Dr. Donald Perry     | mariasmith        |               4 | Antarctica, Europe, North America, South America                          |
|  37 | Fernando Mccall      | kenneth94         |               4 | Asia, Australia, Europe, North America                                    |
|  39 | Brian Owens          | melissawhite      |               4 | Antarctica, Asia, Europe, North America                                   |
|  40 | Kelli Johnson        | andrewperry       |               4 | Africa, Antarctica, Asia, Europe                                          |
|  43 | Christopher Gibson   | billylivingston   |               4 | Africa, Antarctica, Europe, South America                                 |
|  44 | Renee Mccall         | latoyacontreras   |               4 | Africa, Antarctica, Asia, Europe                                          |
|  47 | Nathan Rodriguez     | bdavid            |               4 | Antarctica, Asia, Europe, North America                                   |
|  48 | Shane Schultz        | mcfarlanddale     |               4 | Asia, Europe, North America, South America                                |
|  49 | Hannah Ray           | josephkaufman     |               4 | Antarctica, Asia, Europe, North America                                   |
|  58 | Christopher Mcmillan | elowe             |               4 | Africa, Antarctica, Europe, South America                                 |
|  60 | Darren Franklin      | schmidteric       |               4 | Antarctica, Asia, Australia, Europe                                       |
|  62 | Shane Mitchell       | wrightkimberly    |               4 | Africa, Asia, Australia, North America                                    |
|  66 | Michael Gutierrez    | kylehowell        |               4 | Asia, Australia, Europe, North America                                    |
|  68 | Patrick Curtis       | ozavala           |               4 | Africa, Antarctica, Asia, North America                                   |
|  70 | Renee Valentine      | wstevenson        |               4 | Antarctica, Asia, Europe, South America                                   |
|  77 | Deborah Wang         | chelseacurtis     |               4 | Asia, Europe, North America, South America                                |
|  78 | Stephanie Wood       | millerkimberly    |               4 | Antarctica, Asia, Europe, North America                                   |
|  84 | Kevin Dennis         | urichmond         |               4 | Antarctica, Asia, Europe, South America                                   |
|  87 | Alexandra Young      | jennifer88        |               4 | Antarctica, Asia, Europe, South America                                   |
|  92 | Amy Whitehead        | jmorrow           |               4 | Africa, Antarctica, Europe, South America                                 |
|  97 | Brian Dean           | hmunoz            |               4 | Antarctica, Asia, Europe, South America                                   |
|  98 | Michael Walker       | ricky21           |               4 | Antarctica, Asia, Australia, Europe                                       |
| 100 | Tammy Cantu          | johnaustin        |               4 | Antarctica, Asia, Australia, South America                                |
| 102 | Angela Gordon        | shafferrick       |               4 | Antarctica, Asia, North America, South America                            |
| 105 | Scott Cain           | samanthawalker    |               4 | Africa, Antarctica, Asia, Europe                                          |
| 107 | Angela Porter        | cunninghamsteven  |               4 | Africa, Antarctica, Asia, Europe                                          |
| 109 | Sean Ramos           | welchricky        |               4 | Asia, Australia, Europe, South America                                    |
| 112 | Devin Thornton       | xcampbell         |               4 | Asia, Europe, North America, South America                                |
| 116 | Stephen Phillips     | owatson           |               4 | Africa, Antarctica, Asia, North America                                   |
| 117 | Scott Gutierrez      | joseph36          |               4 | Antarctica, Asia, Europe, South America                                   |
| 121 | Michelle Bryant      | acole             |               4 | Africa, Asia, Europe, South America                                       |
| 123 | William Beck         | frederick96       |               4 | Africa, Antarctica, Asia, Europe                                          |
