cost,used,purchase_type_id,ticket_type_id,purchase_date,visitor_id,event_id,for_sale,ean-13
11.0,1,2,2,2023-09-28,1,1,0,1248720923617
16.0,1,3,2,2024-01-29,2,1,0,8324982820155
15.0,1,1,2,2023-11-06,3,1,0,3544378091543
11.0,0,2,2,2024-09-13,4,1,0,2803917938296
10.0,1,2,2,2023-12-09,5,1,0,9823461303460
12.0,0,3,2,2024-07-27,6,1,0,3202886841214
14.0,1,1,2,2025-05-13,7,1,0,4658100667591
10.0,0,2,2,2024-05-14,8,1,0,3578800265546
14.0,1,3,2,2023-10-19,9,1,0,3806798456914
16.0,0,1,2,2024-05-21,10,1,0,6529870700613
19.0,0,2,2,2024-06-26,11,1,0,6284251214538
18.0,1,2,2,2024-11-12,12,1,0,8486586900655
12.0,0,2,2,2024-01-05,13,1,0,3825773733994
17.0,0,2,2,2025-02-20,14,1,0,1429310273689
10.0,0,2,2,2024-02-02,15,1,0,8617601135018
12.0,0,3,2,2024-06-26,16,1,0,2065579751404
11.0,0,3,2,2023-09-24,17,1,0,3180015863577
18.0,1,1,2,2024-04-16,18,1,0,1356369346052
20.0,0,3,2,2023-12-11,19,1,0,2852492368375
18.0,1,1,2,2024-10-06,20,1,0,3268686055344
12.0,0,1,2,2025-01-20,21,1,1,3867714296470
19.0,1,3,2,2024-08-29,22,1,0,2525801989214
20.0,1,2,2,2023-11-27,23,1,0,6755871582032
14.0,1,2,2,2024-06-14,24,1,0,5199588576052
19.0,1,1,2,2023-05-14,25,1,0,6000179770208
14.0,1,2,2,2024-03-24,26,1,0,5785313628690
10.0,1,3,2,2024-12-19,27,1,0,1970003916364
13.0,1,2,2,2025-02-27,28,1,0,1073063044484
14.0,1,3,2,2024-08-24,29,1,0,4145362223749
10.0,1,3,2,2024-06-25,30,1,0,9316260473552
18.0,0,2,2,2024-08-02,31,1,0,4909004850040
17.0,1,3,2,2025-02-09,32,1,0,9821385890586
18.0,1,2,2,2023-08-29,33,1,0,6405970070086
15.0,1,3,2,2023-08-11,34,1,0,8752994096677
